name,raw_description
Variable Pitch Propeller,This is a 2-meter diameter three-blade electric controlled variable pitch propeller I designed today when I needed something to keep me busy. I designed it for a 120 HP engine.
Propeller and a Nose,Fixed pitch 2.2 meter in Diameter propeller and a attached Aircraft nose.
Extra EA-300,"The Extra EA-300 is a high-performance aerobatic aircraft known for its agility and precision in aerobatic maneuvers. Designed by Walter Extra, a German aerobatic pilot, the EA-300 features a sleek and streamlined fuselage, a powerful engine, and a robust airframe that allows it to withstand the stresses of advanced aerobatics.

With its exceptional roll rate, quick responsiveness to control inputs, and a strong emphasis on aerobatic capabilities, the Extra EA-300 is a popular choice among competitive aerobatic pilots and airshow performers. Its design incorporates advanced materials and engineering to achieve a balance between strength and weight, enabling the aircraft to execute intricate aerobatic sequences with ease.

Whether soaring through the sky in competitive aerobatics or thrilling airshow audiences with breathtaking maneuvers, the Extra EA-300 stands out as a remarkable and agile performer in the world of aerobatic aviation."
1760 Foldable Drone Propellers (CCW and CW),Anti-engineering of a universal type of drone propeller 1760. Not precisely measured for CFD.
Small 4 blade propeller,"3D model of a propeller for model ships but can also be used in 3D CAD drawings, this is the first of a new series of propellers with the airfoil and made totally from scratch, they are not created following real parameters, but can be printed in 3D for ship models and more.
The model has 40mm max Diameter."
Tug Boat,"28M Tug Boat

- anchor by https://grabcad.com/library/anchor-anker-1
- propeller by https://grabcad.com/library/marine-propeller-model-kp505-1
- windlass by https://grabcad.com/library/windlass-4
- bollard by https://grabcad.com/library/bollard-13
- signal lamp by https://grabcad.com/library/signal-lamp-2
- hook by https://grabcad.com/library/creo-parametric-hook-1-1
- manhole by https://grabcad.com/library/manhole-13

Thank you"
Diamond Dynamics Thruster 1.2kg,"This is a relatively cheap waterproof thruster motor that can be purchased on Amazon. Please keep in mind that some of the details were omitted while modeling this thruster.

Here is a link to the thruster that was modeled: https://www.amazon.com/Underwater-bi-Directional-Waterproof-Photography-Exploration/dp/B09BVKKKTJ/ref=sr_1_1?crid=VZRPLEN6DB50&keywords=thruster&qid=1701834306&sprefix=thruste%2Caps%2C163&sr=8-1&ufe=app_do%3Aamzn1.fos.18ed3cb5-28d5-4975-8bc7-93deae8f9840&th=1"
LPG Carrier Vessel,"Self Propelled Barge LPG Carrier

- Ship Cock by https://grabcad.com/naval_architect.anupam_kumar-1
- Bollard by https://grabcad.com/ahmed.ragab-8
- Windlass by https://grabcad.com/ahmad.syaifudin-3
- Rescue Boat by https://grabcad.com/b02751e1e0-1
- Crane by https://grabcad.com/steen.winther
- Shaft and Propeller by https://grabcad.com/roberto.davila-4
- Radar by https://grabcad.com/bilge.alir-1
- Anchor by https://grabcad.com/juri.eischinski-1"
CAP 232,"Based on plan published at https://aerofred.com/details.php?image_id=102773.

Servo Savox by David Farrow (https://grabcad.com/library/savox-sh-1250mg-servo-1).
Webra engine by W. Holzwarth (https://grabcad.com/library/model-rc-engine-webra-speed-61f-rc-1).
Propeller by Usama (https://grabcad.com/library/propeller--36)."
Gemfan Propeller 51466,"for 5 inch freestyle fpv drones

for further models please visit my profile,

https://www.cgtrader.com/designers/kursaduyanik"
Вертолёт. Игрушка. / Helicopter. Toy.,"Вертолет МД 530Ф / MD 530F helicopter
Оригинал / Original https://www.youtube.com/watch?v=U0wBnXa0n0A&ab_channel=3JWings"
Sailplane,"The aforementioned glider features an innovative electrical propulsion system seamlessly integrated into its fuselage-based design. This glider served as a prototype for my undergraduate thesis, where the objective was to evaluate the performance of a glider equipped with an electrical propulsion system. The design of this glider was inspired by the ASG 32 EL, an actual glider manufactured by the German firm Alexander-Schleicher, accessible via the following link: https://www.alexander-schleicher.de/en/flugzeuge/.

Within this 3D model, there is an inclusion of an electrical engine model developed by Emrax, available at the following link: https://emrax.com/."
Kaplan turbine v2,"model of Kaplan turbine, regulation pitch.
complete 3D print."
"SSN - 9TYPE ""Endurance""","The fully detailed version of the ""type 9"" nuclear attack submarine. It is incomplete, because the work to be accomplished is gigantic. All the volume calculations, particularly for the ballasts, the adjustment boxes and the dry deck are ""realistic"", in any case plausible. So here is one of my hobbies from the last 5 years."
Cloud Dancer II,"Based on plans published at Outerzone (https://outerzone.co.uk/plan_details.asp?ID=6512)

Turnigy SK3530-1100 motor by xaulin (https://grabcad.com/library/turnigy-sk3530-1100)

Propeller from SPINNER + PROP 11x6 L by PP - (https://grabcad.com/library/spinner-prop-11x6-l-1)

Savox SH-0257MG Servo by David Farrow (https://grabcad.com/library/savox-sh-0257mg-servo-1)."
Aircraft Propeller,Reverse engineering of scanned porpeller
Modestinho,"This is a tribute to Modesto Hashimoto, a Brazilian model aircraft designer for CL flight.

Instructor of several other modelers and also designer of Modestinho.

This plan had the technical assistance of Francisco Ramos ""Chicão"" who was Hashimoto's apprentice and a serious and competitive pilot of CL model airplanes in Brasil.

The profile of the wing ribs was produced from a hand-drawn drawing by Modesto and the rest of the plan was based on a plan originally made by Francisco Ramos.

The 3D model was produced in Autodesk Fusion360.

Credits:
1) Modesto Hashimoto who produced the blueprint and original model;
2) Francisco Ramos ""Chicão"" for the first version of the plan in 2D CAD;
3) Serhii Taranets, with 3D model of Russian engine ""RHYTHM"" (РИТМ) - https://grabcad.com/library/soviet-motor-2-5-cc-rhythm-1;
4) Serhii Taranets, with the 3D model of the Y-2 propeller - https://grabcad.com/library/2-propeller-2 - which has been reduced in size.


**Portuguese description**

Este é um tributo à Modesto Hashimoto, um aeromodelista brasileiro para voo CL.

Instrutor de vários outros modelistas e também projetista do Modestinho.

Esta planta teve a assessoria técnica de Francisco Ramos ""Chicão"" que foi aprendiz de Hashimoto e um sério e competitivo piloto de modelos CL no Brasil.

O perfil das nervuras da asa foi produzido a partir de um desenho feito à mão por Modesto e o restante da planta usou como base um desenho feito originalmente por Francisco Ramos.

O modelo 3D foi produzido no Autodesk Fusion360.

Créditos:
	1) Modesto Hashimoto que produziu a planta e o modelo originais;
	2) Francisco Ramos ""Chicão"" pela primeira versão da planta em CAD 2D;
	3) Serhii Taranets, com o modelo 3D do motor russo ""RHYTHM"" (РИТМ) - https://grabcad.com/library/soviet-motor-2-5-cc-rhythm-1;
	4) Serhii Taranets, com o modelo 3D da hélice Y-2 - https://grabcad.com/library/2-propeller-2 - que foi reduzida em tamanho."
Seduction Sport,"Based on plans published at AeroFred (https://aerofred.com/details.php?image_id=104221#plan).

Servo Savox by David Farrow (https://grabcad.com/library/savox-sh-0257mg-servo-1).
Servo Savox by Michał Kacperak (https://grabcad.com/library/savox-sc-1258tg-servo-1)
Webra engine by xrv_lite (https://grabcad.com/library/webra-gt40-1034-1).
Propeller by Usama (https://grabcad.com/library/propeller--36)."
Pitch Propellers Control,"Propulsion and Pitch Propellers Control for Flying quad bike ""BilaMukha""
https://grabcad.com/library/flying-quad-bike-e-courage-1

A variant of mechanical control of the pitch of 4 screws synchronously.
This system will be able to change the pitch of 4 screws only between the extreme positions (min - max 20 degrees). But it's better than a fixed pitch propeller."
"Variable pitch propeller for Flying quad bike ""BilaMukha""","Variable pitch propeller for Flying quad bike ""BilaMukha"" aircraft https://grabcad.com/library/flying-quad-bike-e-courage-1
  (or BlackFly by Opener)
A fixed pitch propeller should provide a horizontal flight speed of 20 - 30 m/s, but then in the takeoff and landing mode (vertical speed 0 +/- 5 m/s) this propeller will not be efficient and will require additional motor power.
The presented propeller has a pitch control range of 20 degrees.
Under the condition of a shortage of electrical power on board the aircraft, the drive must be manual and rigid from the pilot's seat.
The drive must provide maximum synchronism for 4/8 propellers. I will try to do it next time."
Embraer EMB 314 Super Tucano,"The Embraer EMB 314 Super Tucano is a Brazilian turboprop light attack aircraft designed and built by Embraer as a development of the Embraer EMB 312 Tucano. Powered by Pratt & Whitney Canada PT6A-68C turboprop engine with 5-bladed Hartzell constant-speed, fully feathering, reversible-pitch propeller."
Ultra Sport Plus,"Based on plan published at https://outerzone.co.uk/plan_details.asp?ID=11106.

Servo Savox by David Farrow (https://grabcad.com/library/savox-sh-0257mg-servo-1).
Futaba servo by Sylvain (https://grabcad.com/library/futaba-s3003-1).
Webra engine by xrv_lite (https://grabcad.com/library/webra-gt40-1034-1).
Propeller by Usama (https://grabcad.com/library/propeller--36)."
KA-10,"KA-10 c/l model, based on Anatoly Kolesnikov plans published on https://outerzone.co.uk/plan_details.asp?ID=10347.

Engine is from https://grabcad.com/library/rc-glow-engine-65-1 sized to fit.

Propeller is from https://grabcad.com/library/2-propeller-2 sized to fit.

No landing gear..."
rc boat - HMS FLIPPER,"HMS FLIPPER is my attempt to build a boat with paddle drive that has become reality.

As a little boy, I had a toy boat to wind up that had a paddle instead of a propeller at the back. I tied it to my grandfather's fishing rod and let it cruise across the small pond. That was much more exciting than waiting for the tiny fish.

HMS FLIPPER looks a bit like the lunch box my grandpa used to keep the earthworms in for fishing - and to make a long story short: The first flipper model made of the colourful PLA parts was leaking. The water penetrated through the printed walls. The second model made of translucent PETG warped so much that I didn't even put it in the water.

Maybe you're still curious enough to try it out for yourselves . . .
And now good luck!

(Some of the electrical components here are from the GrabCAD community. Thanks a lot for that.)

SolidWorks version is 2017"
Coaxial Propeller,Assembly of bevel gear and bearings in Coaxial Propeller mechanism، it should be noted that according to aerodynamics the propeller should rotate counterclockwise to produce the required lift force.
7x5 Propeller for Drone,A 7x5 propeller (file is mislabeled) used for drone modeling. Link to store no longer works but was originally found here: https://www.racedayquads.com/collections/5-props/products/apc-bd5-1x5-0e-b4-bi-blade-5-prop-4-pack
Zipline silent propeller,"on the hunt for the next cool object i found this
help me perfect this for indoor drones"
Toroidal Propeller,"This Toroidal Propeller is designed for aquatic use. It features a variable pitch, and blade cross section size, aiming to provide responsive acceleration and deceleration. Alter core and scale as needed. I recommend heat welding, or gluing metal drive shaft within printed core."
toroidal propeller,"The toroidal propeller allows a small multirotor unpiloted aircraft, or drone, to operate more quietly than current drones that use propeller forms unchanged since the beginning of aviation."
Radial Engine Model,"This demonstration model displays a functional 4-stroke radial engine, which is distinct from a straight-cylinder engine as the cylinders are linked to the crankshaft using a single hub with a master-and-articulating rods assembly. This engine configuration was popular in WWII aircraft due to its reliability and efficiency. Moreover, to ensure a smooth firing order, most 4-stroke radial engines consist of an odd number of cylinders.

The model was constructed based on SPARK PLUG's tutorial on Youtube, which you can find the link to below:
https://www.youtube.com/watch?v=nzrw6u0D9to

To facilitate animation, the model was assembled using joints and motion links. The following parts are animated:

• Rotor
• Pistons
• Camshafts
• Camshaft gears
• Connecting rods
• Valves"
MIT / QUIET propeller,https://www.cined.com/mit-researchers-develop-quiet-and-less-annoying-sounding-drone-propellers/
Adapter Hobbywing Х9 with propellers 3411 CWW,"All dimensions of the adapter and parts are identical to the actual ones, the propellers have overall dimensions, the propeller profile is free to represent the general view."
Sharrow propeller,"Seen on Youtube, I modeled this propeller for fun only, i have no pretensions. For example, I don't know the curvature of the blade

I looked for an easy way to modify the lofting.

https://www.youtube.com/watch?v=X7pJqFgzXp4"
e-Foil and Marine Toroidal Propeller Blades,Variety of toroidal propellers meant for e-Foiling and other marine applications.
6045 Propeller Set CW/CCW,"6045 Propeller Set CW/CCW, pitch is not exactly designed, cannot use for CFD simulations. MINI Quard Drone. FPV, Multirotor. EVTOL."
5040 Toroidal Propellers,"I modeled these propellers based on the NACA2415 airfoil, minimally modified to be 3D printable so I could  perform thrust test comparisons against standard 5040 propellers to test MIT's claims about toroidal propeller efficiencies. 

5"" x 4"" pitch bi-loop toroidal propeller set in CW and CCW 

5"" x 4"" pitch tri-loop toroidal propeller set in CW and CCW"
Parametric 4 digit NACA Aircraft Propeller Model,"Generate just about any type of mathematically perfect base model prop using 4 digit NACA numbers.  Props can be used for models, for 3D printing, for CNC work, for stress analysis, and for fluid dynamics simulations.  Props are intended for aerodynamic applications, but as my demo STL files show, may also be useful for hydrodynamic environments.  The 2 bladed and 3 bladed demos have additional modelling done to smooth up the mathematically generated model.  The 4 bladed and 5 bladed demos are very close to ""as generated.""  Sorry - but only Autodesk Inventor 2022 is supported.  I will continue working on documentation as I finish my ""research paper"" this is for."
Yacht propeller,"I took the yacht modeling course. Only the propeller was uploaded for the model.
I think I did a good job with the rendering.
https://learnsolidworks.com/free-yacht-ebook"
13x4 Propeller,13 inch diameter and 4 inch pitch prop found here https://www.apcprop.com/product/13x4e/
Toroidal Propeller (6Blades),MIT's new quiet Toroidal Propeller with 6 blades
Toroidal Propeller,"MIT's  Toroidal Propeller with 3 loops.
Dia : 220 mm
Pitch : 228.6 mm (9 in)
Direction : CCW"
Pitts S-1,"The Pitts Special (company designations S-1 and S-2) is a series of light aerobatic biplanes designed by Curtis Pitts. It has accumulated many competition wins since its first flight in 1944. The Pitts biplanes dominated world aerobatic competition in the 1960s and 1970s and, even today, remain potent competition aircraft in the lower categories."
Toroidal propeller 3 blades,Toroidal propeller with 3 blades
"Is this chindogu? Oh no, of course!","This is just a demonstrator A powerful electric generator is built into the hub of this propeller - up to several kilowatts! 
The core with the coils rotates together with the propeller, and the permanent magnets are fixedly fixed on the end of the fuselage with the necessary clearance. LEDs at the ends of the blades increase the safety of service in the dark!
Instead of a light bulb, you can put a drive for changing the angle of the blades! You can make electric heating of the leading edge of the blade against icing!
Concept only"
Kyushu J7W Shinden,"The Kyūshū J7W Shinden (震電, ""Magnificent Lightning"") was a World War II Japanese propeller-driven prototype fighter with wings at the rear of the fuselage, a nose-mounted canard, and pusher engine.

Developed by the Imperial Japanese Navy (IJN) as a short-range, land-based interceptor, the J7W was a response to Boeing B-29 Superfortress raids on the Japanese home islands. For interception missions, the J7W was to be armed with four forward-firing 30 mm type 5 cannons in the nose.

The Shinden was expected to be a highly maneuverable interceptor, but only two prototypes were finished before the end of war. A jet engine–powered version was considered, but never even reached the drawing board.

I accidently made it as a five-bladed propeller weathers the original one has a six-bladed."
Lavockin La-7,"La-7 (Russian: Лавочкин Ла-7) was a piston-engined single-seat Soviet fighter aircraft developed during World War II by the Lavochkin Design Bureau. It was a development and refinement of the Lavochkin La-5, and the last in a family of aircraft that had begun with the LaGG-1 in 1938. Its first flight was in early 1944 and it entered service with the Soviet Air Forces later in the year. A small batch of La-7s was given to the Czechoslovak Air Force the following year, but it was otherwise not exported. Armed with two or three 20 mm (0.8 in) cannon, it had a top speed of 661 kilometers per hour (411 mph). The La-7 was felt by its pilots to be at least the equal of any German piston-engined fighter. It was phased out in 1947 by the Soviet Air Force, but served until 1950 with the Czechoslovak Air Force."
Fix Wing Love Meow,"Up in the air:

1 xRaspberry Pi zero 2W
1 x Raspberry Pi cam V2 NoIR
1 x Ac180 Wifi card 1W
2 x 7dB high gain omnidirectional antenna 

4 x EMAX ES08A II Mini Plastic Gear Analog Servo
1 x SKYLORD 30 AMP with 2A5V BEC
1 x HobbyStar 2204 Brushless  Motor 1200KV 
8045 3-Blade Propeller 8x4.5 Props

1 x Matek F411-WTE
1 x GPS & COMPASS MODULE M8Q-5883

4x Panasonic 18650 3400mAh 3.7V Lithium Battery"
iFLIGHT HL7,"3D PRINTING
CADDX Tarsier V2 4K - DVR HOLDER 
Features:
- Super long battery support room (40*110mm)
- 40*110*26mm Electronics mounting space
- Scientific frame structure & reasonable force analysis ensure durability while mitigating the jello issues
- Comes with 30° Gorpo Mounting Plates
- Equipped with 3D print 45° TPU antenna mount, Optional TPU arm protection mount, Go.Pro mount
 
Description:
- Wheelbase: 296mm
- Bottom Plate Thickness: 2mm
- Top Plate Thickness: 2mm
- Arm Thickness: 5mm
- Vertical Plates Thickness: 3mm
- Vertical Plates Distance: 28mm
- Standoff Height: 22mm
- The distance between Top&Bottom Plates: 26mm
- FC Mounting Holes: 30.5*30.5mm/20*20mm
- Frame Net Weight: 143g 
- Supported Motor: 22XX 23XX 24XX 25XX Size
- Supported Propeller: Max 7 Inch"
12-24V Underwater Thruster Brushless Motor 4 Blade Propeller,"Voltage: 12-24V
Current: 20A
Power: 30-200W
Motor KV: 1000KV
Size: Wire length 250mm, Diameter 74mm, Total length 75mm, Propeller diameter 60mm
Material: Motor 304 Stainless steel bearing Aluminum alloy, Shell PLA, Propeller PC"
MILDEN  Submarine,"The MILDEN submarine introduced by the design office of the Turkish Naval Forces. Real-scale concept drawing that I created using the exhibited mockup of the submarine and its announced approximate dimensions.
There are also drawings of the mockup version. I added the real photos of the introduced model to the last row.

Also, in my cursory cfd analysis, I found the propeller speed of the submarine at 25 knots to be approximately 137-138rpm. Probably inaccurate values since the simulation includes 10atm pressure, pure water and low mesh...

Announced sizes;

displacement:2700t+
length:80m +"
"Irwin Meteormotor M-79, 4X Engine","Scale model of the 1929 Irwin Meteormotor M-79 4X Engine.
My design from pictures and drawings available on the internet.
For more interesting information on vintage aircraft engines visit: http://www.enginehistory.org/"
Armattan Rooster 5”,"Armattan Rooster 5” FPV camera mount. Thank Jes Olavides (Tri-Blade 5045 Propeller), Mert Çukadar (Omnibus_f4_v2_pro_Flight_conroller), persopolo (Matek XT60 PDB), Sergey Torshin (FlySky / FS-X6B-V1.1 / Reciever), Brad Dranko (TS5828 600mw transmitter FPV), Emre KURT (EMAX RS2205 BRUSHLESS MOTOR)"
Coaxial Propeller V2,I designed a second version of Coaxial Propellers .
Coaxial Propeller,I modeled a propeller design that uses in some aircraft.
EFT Spraying Drone,"For your Reference and presentation.
This is the first time upload. 
I'm not the professional."
63x22 Propeller,"63x22 Propeller used for manned drones, paratrikes.
Solidwork, Keyshot,"
3D printed Quadcopter V8,"Summary:
Quadcopter designed to be 3D printed with PLA. Arms are designed to fit into body and to be glued or 3D doodle pen welded into the frame.

Assembly suggestions: 
Glue: suggested (any medium CA glue) the following should also work (epoxy, JB weld, any general purpose gel glue that won't disolve PLA)

Printing:
for best results I suggest splitting the arm body using the motor mount plane. file frame arm holes and arm tabs as required for fit. frame arms can be glued together and then glued into the frame or positioned in the frame and glued all at once. body 23 and 27 are the arms and although I have not checked the arms should be symmetrical so you can print 2x body 23 + 2x body 27 or 4x body 23 or 27. print at which ever settings you typically use for PLA and I used a layer height of 0.12 or 0.15 but use what's best for you. if layer adhesion is bad print a little hotter and use supports. 

suggested motors:
 2205-2300 KV or equivalent with M3 mounting screws

Suggested Propeller:
5x4 or eqivalent


Suggested Battery: 3S-4S battery 850mah or higher 5-7 Min? .3S 18650  7-12 min? MINUMUM DISCHARGE CURRENT RATING FOR ALL BATT TYPES  25A

Suggested FC: any stack with dimensions 30mmx30mm

Suggested other electronics:
user preference or what ever can fit inside.

Suggested modification:
Design cover for the top of the frame if desired. Add landing legs if desired.

Suggested Battery Mounting:
mount sticky foam pad (window seal pad) as required on underside of frame. feed and velcro that will fit through frame slots to make battery strap. 

Total Flying Weight:
320g-350g 

FAA Registration is likely required For USA as well as REMOTE ID compliance when rules come into effect (WTF FAA there's no way to comply with this yet lol). See your local regulations."
Propeller (10x4.5),"frequently used in DIY Drones, 10x4.5in drone propeller, CCW and CW Models, SolidWorks 2019, exact dimensions were not used to create this model."
Nakajima Ki-27 Nate,"The Nakajima Ki-27 (九七式戦闘機, Kyūnana-shiki sentōki, Type 97 Fighter) was the main fighter aircraft used by the Imperial Japanese Army Air Force up until 1940. Its Allied nickname was ""Nate"", although it was called ""Abdul"" in the ""China Burma India"" (CBI) theater by many post war sources; Allied Intelligence had reserved that name for the nonexistent Mitsubishi Navy Type 97 fighter, expected to be the successor to the carrier-borne Type 96 (Mitsubishi A5M) with retractable landing gear and an enclosed cockpit."
P-51 Air Racer ''Voodoo'',"Voodoo is a highly modified North American P-51D Mustang that was the 2013, 2014 and 2016 Unlimited-class champion of the Reno Air Races. The pilot for these wins was Steven Hinton, Jr of Chino, California."
Carbon Fiber wing 15X5,Simple Rendering of Propeller in carbon fiber
3 and 6 blades boat props for trolling motor,3 and 6 blades boat props for trolling motor with giroscooter (hoverboard) motor (wheel-motor) 250Wt and 1:1 ratio angle gearbox
Propeller (40x13.1 Carbon Fiber ),"Popular for: UAV, Drone, agricultural UAV, heavy lift drones, manned drones
Pitch Dimensions are not accurate so do not use this for CFD simulations."
Самолет. Игрушка. / Cartoon Airplane. Toy.,"Самолет. Игрушка. / Cartoon Airplane. Toy.
Оригинал / Original  https://www.turbosquid.com/3d-models/sea-plane-3d-model-1508893"
FPV drone (bumble bee),"modular FPV quadcopter  (bumble bee drone) . ready to 3D print 
you can export stl files from each folder. 
(rc quadcopter)
some parts As follows: 
iFlight.Xing.2207
pixracer flight control
Propeller (Tri-Blade) v5
For more info contact :
nouriarahia@gmail.com"
Propeller (47x13 Carbon Fiber),"47X13in drone propeller, CCW and CW Models, SolidWorks 2019, exact dimensions were not used to create this model."
Prince bay marketplace exhibition centre,"Prince Bay Marketing Exhibition Centre is located at Shekou Harbour, Shekou.
The design concept is based on the shape of a “three-blade propeller”.
https://www.archdaily.com/794205/prince-bay-marketing-exhibition-centre-aecom"
Yakovlev Yak-3    (1943),"The Yakovlev Yak-3 (Russian: Яковлев Як-3) was a single-engine, single-seat World War II Soviet fighter. Robust and easy to maintain, it was much liked by both pilots and ground crew. One of the smallest and lightest combat fighters fielded by any combatant during the war, its high power-to-weight ratio gave it excellent performance and it proved to be a formidable dogfighter.

Marcel Albert, a World War II French ace who flew the Yak-3 in the USSR with the Normandie-Niémen Group, considered it a superior aircraft to the P-51D Mustang and Supermarine Spitfire. It was also flown by Polish Air Forces (of the Polish People's Army formed in USSR) and the Yugoslav Air Force, after the war.

Next aircraft in the series: Heinkel He 51"
Kamov Ka-50/52,"Ka-52 Alligator is an all-weather attack helicopter operated by the Russian Air Force. Developed by Kamov Design Bureau (part of Russian Helicopters), Ka-52 is a twin-seat variant of the Ka-50 attack helicopter."
